src,dst,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
1,11,4931.0,3648.0,1283.0,0.7398093692962888,181096.0,49.64254385964912,18109600.0,4964.254385964912
1,12,5035.0,3575.0,1460.0,0.7100297914597815,181163.0,50.674965034965034,18116300.0,5067.4965034965035
1,13,5079.0,3436.0,1643.0,0.6765111242370545,174446.0,50.77008149010477,17444600.0,5077.008149010478
2,3,4939.0,3399.0,1540.0,0.688195991091314,121285.0,35.68255369226243,12128500.0,3568.255369226243
2,4,4912.0,3021.0,1891.0,0.6150244299674267,115648.0,38.28136378682555,11564800.0,3828.1363786825555
2,5,5031.0,2910.0,2121.0,0.5784138342277877,102422.0,35.19656357388316,10242200.0,3519.6563573883163
2,6,5022.0,2893.0,2129.0,0.5760653126244524,129798.0,44.86622882820601,12979800.0,4486.622882820601
2,7,5046.0,2896.0,2150.0,0.5739199365834324,129791.0,44.817334254143645,12979100.0,4481.733425414364
2,8,5078.0,2465.0,2613.0,0.4854273335959039,121908.0,49.455578093306286,12190800.0,4945.5578093306285
2,9,5011.0,2296.0,2715.0,0.4581919776491718,109315.0,47.61106271777003,10931500.0,4761.106271777004
2,10,4886.0,2018.0,2868.0,0.4130167826442898,110859.0,54.93508424182359,11085900.0,5493.508424182359
2,11,4964.0,1919.0,3045.0,0.38658340048348105,102154.0,53.232933819697756,10215400.0,5323.2933819697755
2,12,5019.0,1758.0,3261.0,0.35026897788404066,95852.0,54.52332195676905,9585200.0,5452.332195676906
2,13,4982.0,1585.0,3397.0,0.31814532316338817,86660.0,54.67507886435331,8666000.0,5467.507886435331
3,4,4965.0,4553.0,412.0,0.917019133937563,70948.0,15.582692730068088,7094800.0,1558.2692730068086
3,5,4985.0,4331.0,654.0,0.8688064192577734,140974.0,32.549988455322094,14097400.0,3254.9988455322095
3,6,4977.0,4041.0,936.0,0.8119349005424955,115522.0,28.587478346943826,11552200.0,2858.7478346943826
3,7,4988.0,3676.0,1312.0,0.7369687249398557,126168.0,34.32208922742111,12616800.0,3432.208922742111
3,8,4994.0,3958.0,1036.0,0.7925510612735283,144557.0,36.52273875694795,14455700.0,3652.273875694795
3,9,5047.0,3793.0,1254.0,0.7515355656825837,148701.0,39.204060110730296,14870100.0,3920.4060110730293
3,10,5028.0,3635.0,1393.0,0.7229514717581543,104523.0,28.754607977991746,10452300.0,2875.4607977991745
3,11,5017.0,3430.0,1587.0,0.683675503288818,118053.0,34.41778425655977,11805300.0,3441.7784256559767
3,12,4893.0,3170.0,1723.0,0.6478642959329655,117056.0,36.92618296529969,11705600.0,3692.6182965299686
3,13,5015.0,3022.0,1993.0,0.60259222333001,105669.0,34.96657842488418,10566900.0,3496.6578424884183
4,5,4935.0,4213.0,722.0,0.8536980749746708,72162.0,17.128412057915973,7216200.0,1712.8412057915975
4,6,5080.0,4439.0,641.0,0.8738188976377953,54414.0,12.258166253660734,5441400.0,1225.8166253660734
4,7,4973.0,3827.0,1146.0,0.769555600241303,81368.0,21.26156258165665,8136800.0,2126.156258165665
4,8,4982.0,3795.0,1187.0,0.7617422721798475,117295.0,30.907773386034254,11729500.0,3090.7773386034255
4,9,5129.0,3755.0,1374.0,0.7321115227139793,109334.0,29.116910785619176,10933400.0,2911.6910785619175
4,10,4962.0,3326.0,1636.0,0.6702942361950827,123601.0,37.16205652435358,12360100.0,3716.205652435358
4,11,5067.0,3167.0,1900.0,0.6250246694296427,106031.0,33.47994947900221,10603100.0,3347.994947900221
4,12,5000.0,2849.0,2151.0,0.5698,97705.0,34.294489294489296,9770500.0,3429.4489294489294
4,13,4972.0,2609.0,2363.0,0.5247385358004827,89898.0,34.456880030663086,8989800.0,3445.6880030663087
5,6,4980.0,2724.0,2256.0,0.5469879518072289,84085.0,30.86820851688693,8408500.0,3086.820851688693
5,7,5048.0,2684.0,2364.0,0.5316957210776545,88176.0,32.85245901639344,8817600.0,3285.245901639344
